TIME,TEMP_2m,TEMP_21m,PER90_2m,PER90_21m
2015-12-28,18.6366672515869,17.0090103149414,16.9644470214844,16.0265064239502
2015-12-29,17.8537502288818,16.2685127258301,17.0301036834717,16.0778045654297
2015-12-30,18.3299999237061,17.3239860534668,17.0659332275391,16.1514129638672
2015-12-31,18.3474998474121,16.6939010620117,17.1214389801025,16.2101917266846
2016-01-01,19.1054172515869,17.8620414733887,17.1559715270996,16.2873954772949
2016-01-02,18.8325004577637,17.7242641448975,17.1813793182373,16.3406600952148
2016-01-03,18.5941677093506,16.9906673431396,17.246976852417,16.4078578948975
2016-01-04,18.6554164886475,18.1632957458496,17.2799243927002,16.4805374145508
2016-01-05,18.8516674041748,18.6668663024902,17.2966079711914,16.5231609344482
2016-01-06,18.8099994659424,18.6315097808838,17.3258895874023,16.5655727386475
2016-01-07,18.3549995422363,17.4759044647217,17.3772048950195,16.6350784301758
2016-01-08,18.7049999237061,18.1080493927002,17.4286651611328,16.7091655731201
2016-01-09,19.2266674041748,18.9631481170654,17.5020866394043,16.7872409820557
2016-01-10,18.780834197998,17.8464164733887,17.5782814025879,16.848560333252
2016-01-11,18.4454174041748,17.7466869354248,17.6449108123779,16.9221630096436
2016-01-12,18.8958339691162,17.8746547698975,17.6898422241211,16.9819965362549
2016-01-13,18.0945835113525,17.5559024810791,17.7211532592773,17.0543575286865
2016-01-14,17.8783340454102,17.7164497375488,17.7365970611572,17.122522354126
2016-01-15,17.8433322906494,17.6728515625,17.7673892974854,17.1704006195068
2016-01-16,18.2679176330566,17.8027801513672,17.8172988891602,17.2187843322754
2016-01-17,19.2837505340576,19.0980796813965,17.8764495849609,17.2759170532227
2016-01-18,19.6012496948242,18.9811573028564,17.9358062744141,17.3147029876709
2016-01-19,19.2866668701172,18.3774452209473,17.9667644500732,17.360200881958
2016-01-20,19.124584197998,18.6385307312012,18.0057468414307,17.4046936035156
2016-01-21,19.5349998474121,19.0849437713623,18.0638370513916,17.4614181518555
2016-01-22,19.5475006103516,18.8724689483643,18.1059284210205,17.5146465301514
2016-01-23,19.7308330535889,19.3675193786621,18.1711750030518,17.5737991333008
2016-01-24,19.6191673278809,19.4509029388428,18.2437686920166,17.6276626586914
2016-01-25,19.4495830535889,19.405216217041,18.2963371276855,17.6953144073486
2016-01-26,19.1420841217041,19.0254898071289,18.3811187744141,17.7446117401123
2016-01-27,19.1637496948242,19.1342658996582,18.459056854248,17.8068962097168
2016-01-28,18.9016666412354,18.8401527404785,18.5278072357178,17.8495121002197
2016-01-29,18.7579174041748,18.538215637207,18.5527839660645,17.9198322296143
2016-01-30,18.5849990844727,18.2250957489014,18.5887851715088,17.9586315155029
2016-01-31,19.0324993133545,18.4222660064697,18.6150970458984,17.9818553924561
2016-02-01,20.0329170227051,18.734691619873,18.6199951171875,17.986198425293
2016-02-02,19.8670825958252,18.6901245117188,18.6340751647949,18.004430770874
2016-02-03,19.3370838165283,18.5991611480713,18.6403694152832,18.0168876647949
2016-02-04,19.8000011444092,19.4058284759521,18.6525554656982,18.0357227325439
2016-02-05,19.8216667175293,18.8409557342529,18.6635818481445,18.0553531646729
2016-02-06,19.750415802002,18.5517292022705,18.6803436279297,18.0608558654785
2016-02-07,20.0962505340576,18.7952308654785,18.6777057647705,18.0654907226562
2016-02-08,20.4665222167969,19.295919418335,18.6958465576172,18.0726470947266
2016-02-09,20.1316661834717,18.5372314453125,18.7056179046631,18.0831871032715
2016-02-10,20.1159000396729,19.342399597168,18.7039947509766,18.074369430542
2016-02-11,20.6858329772949,20.0393466949463,18.7233142852783,18.0946617126465
2016-02-12,20.6308326721191,20.1916065216064,18.7419452667236,18.1277809143066
2016-02-13,20.4108333587646,19.6462917327881,18.7538738250732,18.1341514587402
2016-02-14,20.2733325958252,20.3442707061768,18.8015632629395,18.155834197998
2016-02-15,19.6333332061768,19.7833118438721,18.8377914428711,18.1952247619629
2016-02-16,19.0541667938232,999999,18.8510971069336,18.2309074401855
2016-02-17,19.1279163360596,19.0156764984131,18.8480281829834,18.2573852539062
2016-02-18,19.1666660308838,19.0564289093018,18.8601760864258,18.2889385223389
2016-02-19,18.9324989318848,18.8924674987793,18.8949413299561,18.3249015808105
2016-02-20,19.4166660308838,19.0957698822021,18.9072227478027,18.3595752716064
2016-02-21,19.3600006103516,19.2078018188477,18.9251766204834,18.3704051971436
2016-02-22,19.1379165649414,18.9310188293457,18.9082660675049,18.3586597442627
2016-02-23,19.3091659545898,19.1627254486084,18.8805770874023,18.3660049438477
2016-02-24,19.2037506103516,19.1785850524902,18.8686103820801,18.3630886077881
2016-02-25,19.2308330535889,19.1339511871338,18.8646373748779,18.3411312103271
2016-02-26,19.1604175567627,19.109058380127,18.8204116821289,18.3308906555176
2016-02-27,19.1954154968262,18.9612884521484,18.7826290130615,18.3036403656006
2016-02-28,19.406665802002,19.1988048553467,18.7357501983643,18.2965259552002
2016-02-29,19.3895835876465,19.3815040588379,18.7399883270264,18.2839012145996
2016-03-01,19.2704162597656,19.2869167327881,18.7442264556885,18.271276473999
2016-03-02,19.220832824707,18.9330234527588,18.7458400726318,18.2749919891357
2016-03-03,19.2896995544434,19.1681995391846,18.7418956756592,18.3122596740723
2016-03-04,19.546667098999,19.1206073760986,18.7759113311768,18.3255786895752
2016-03-05,19.5479164123535,19.1972942352295,18.7836494445801,18.3564910888672
2016-03-06,19.5866661071777,19.1507358551025,18.7919044494629,18.3888664245605
2016-03-07,19.5991668701172,19.6151580810547,18.7856693267822,18.4088363647461
