TIME,TEMP 2m,TEMP 21m,PER90 2m,PER90 21m
2015-12-28 12:00:00,18.636667251586914,17.009010314941406,16.964447021484375,16.026506423950195
2015-12-29 12:00:00,17.853750228881836,16.268512725830078,17.03010368347168,16.077804565429688
2015-12-30 12:00:00,18.329999923706055,17.323986053466797,17.065933227539062,16.151412963867188
2015-12-31 12:00:00,18.34749984741211,16.69390106201172,17.12143898010254,16.21019172668457
2016-01-01 12:00:00,19.105417251586914,17.862041473388672,17.15597152709961,16.287395477294922
2016-01-02 12:00:00,18.832500457763672,17.72426414489746,17.181379318237305,16.340660095214844
2016-01-03 12:00:00,18.594167709350586,16.99066734313965,17.246976852416992,16.40785789489746
2016-01-04 12:00:00,18.65541648864746,18.16329574584961,17.279924392700195,16.48053741455078
2016-01-05 12:00:00,18.851667404174805,18.666866302490234,17.296607971191406,16.523160934448242
2016-01-06 12:00:00,18.809999465942383,18.63150978088379,17.325889587402344,16.56557273864746
2016-01-07 12:00:00,18.354999542236328,17.47590446472168,17.37720489501953,16.63507843017578
2016-01-08 12:00:00,18.704999923706055,18.108049392700195,17.428665161132812,16.709165573120117
2016-01-09 12:00:00,19.226667404174805,18.96314811706543,17.502086639404297,16.787240982055664
2016-01-10 12:00:00,18.780834197998047,17.846416473388672,17.57828140258789,16.848560333251953
2016-01-11 12:00:00,18.445417404174805,17.746686935424805,17.64491081237793,16.922163009643555
2016-01-12 12:00:00,18.89583396911621,17.87465476989746,17.689842224121094,16.981996536254883
2016-01-13 12:00:00,18.09458351135254,17.5559024810791,17.721153259277344,17.054357528686523
2016-01-14 12:00:00,17.878334045410156,17.716449737548828,17.736597061157227,17.122522354125977
2016-01-15 12:00:00,17.843332290649414,17.6728515625,17.76738929748535,17.170400619506836
2016-01-16 12:00:00,18.26791763305664,17.802780151367188,17.817298889160156,17.21878433227539
2016-01-17 12:00:00,19.283750534057617,19.098079681396484,17.876449584960938,17.275917053222656
2016-01-18 12:00:00,19.60124969482422,18.981157302856445,17.935806274414062,17.3147029876709
2016-01-19 12:00:00,19.286666870117188,18.377445220947266,17.966764450073242,17.360200881958008
2016-01-20 12:00:00,19.124584197998047,18.638530731201172,18.005746841430664,17.404693603515625
2016-01-21 12:00:00,19.53499984741211,19.084943771362305,18.0638370513916,17.46141815185547
2016-01-22 12:00:00,19.547500610351562,18.872468948364258,18.105928421020508,17.514646530151367
2016-01-23 12:00:00,19.730833053588867,19.36751937866211,18.171175003051758,17.57379913330078
2016-01-24 12:00:00,19.61916732788086,19.450902938842773,18.2437686920166,17.627662658691406
2016-01-25 12:00:00,19.449583053588867,19.405216217041016,18.296337127685547,17.695314407348633
2016-01-26 12:00:00,19.1420841217041,19.025489807128906,18.381118774414062,17.744611740112305
2016-01-27 12:00:00,19.16374969482422,19.134265899658203,18.459056854248047,17.806896209716797
2016-01-28 12:00:00,18.90166664123535,18.840152740478516,18.527807235717773,17.849512100219727
2016-01-29 12:00:00,18.757917404174805,18.53821563720703,18.552783966064453,17.919832229614258
2016-01-30 12:00:00,18.584999084472656,18.225095748901367,18.58878517150879,17.95863151550293
2016-01-31 12:00:00,19.032499313354492,18.422266006469727,18.615097045898438,17.981855392456055
2016-02-01 12:00:00,20.032917022705078,18.734691619873047,18.6199951171875,17.98619842529297
2016-02-02 12:00:00,19.867082595825195,18.69012451171875,18.634075164794922,18.004430770874023
2016-02-03 12:00:00,19.33708381652832,18.59916114807129,18.640369415283203,18.016887664794922
2016-02-04 12:00:00,19.80000114440918,19.40582847595215,18.652555465698242,18.035722732543945
2016-02-05 12:00:00,19.821666717529297,18.84095573425293,18.66358184814453,18.05535316467285
2016-02-06 12:00:00,19.750415802001953,18.551729202270508,18.680343627929688,18.060855865478516
2016-02-07 12:00:00,20.096250534057617,18.795230865478516,18.677705764770508,18.06549072265625
2016-02-08 12:00:00,20.466522216796875,19.29591941833496,18.695846557617188,18.072647094726562
2016-02-09 12:00:00,20.13166618347168,18.5372314453125,18.705617904663086,18.083187103271484
2016-02-10 12:00:00,20.11590003967285,19.34239959716797,18.703994750976562,18.074369430541992
2016-02-11 12:00:00,20.685832977294922,20.03934669494629,18.72331428527832,18.094661712646484
2016-02-12 12:00:00,20.63083267211914,20.191606521606445,18.741945266723633,18.12778091430664
2016-02-13 12:00:00,20.41083335876465,19.646291732788086,18.753873825073242,18.134151458740234
2016-02-14 12:00:00,20.273332595825195,20.344270706176758,18.801563262939453,18.155834197998047
2016-02-15 12:00:00,19.633333206176758,19.78331184387207,18.837791442871094,18.19522476196289
2016-02-16 12:00:00,19.054166793823242,,18.851097106933594,18.230907440185547
2016-02-17 12:00:00,19.12791633605957,19.015676498413086,18.8480281829834,18.25738525390625
2016-02-18 12:00:00,19.16666603088379,19.056428909301758,18.86017608642578,18.288938522338867
2016-02-19 12:00:00,18.932498931884766,18.892467498779297,18.894941329956055,18.324901580810547
2016-02-20 12:00:00,19.41666603088379,19.09576988220215,18.907222747802734,18.359575271606445
2016-02-21 12:00:00,19.360000610351562,19.207801818847656,18.9251766204834,18.370405197143555
2016-02-22 12:00:00,19.137916564941406,18.931018829345703,18.908266067504883,18.358659744262695
2016-02-23 12:00:00,19.309165954589844,19.1627254486084,18.880577087402344,18.366004943847656
2016-02-24 12:00:00,19.203750610351562,19.178585052490234,18.868610382080078,18.363088607788086
2016-02-25 12:00:00,19.230833053588867,19.13395118713379,18.86463737487793,18.34113121032715
2016-02-26 12:00:00,19.160417556762695,19.109058380126953,18.820411682128906,18.330890655517578
