"","TIME","TEMP_2m","TEMP_21m","PER90_2m","PER90_21m"
"1",2016-01-16,18.2679176330566,17.8027801513672,17.9640712738037,17.1953277587891
"2",2016-01-17,19.2837505340576,19.0980796813965,18.0011100769043,17.2480754852295
"3",2016-01-18,19.6012496948242,18.9811573028564,18.0236568450928,17.2843418121338
"4",2016-01-19,19.2866668701172,18.3774452209473,18.0772819519043,17.3234920501709
"5",2016-01-20,19.124584197998,18.6385307312012,18.1206607818604,17.3615646362305
"6",2016-01-21,19.5349998474121,19.0849437713623,18.1635913848877,17.4059066772461
"7",2016-01-22,19.5475006103516,18.8724689483643,18.23366355896,17.4683456420898
"8",2016-01-23,19.7308330535889,19.3675193786621,18.2813758850098,17.5160732269287
"9",2016-01-24,19.6191673278809,19.4509029388428,18.3320217132568,17.549825668335
"10",2016-01-25,19.4495830535889,19.405216217041,18.4257469177246,17.6115455627441
"11",2016-01-26,19.1420841217041,19.0254898071289,18.4938106536865,17.6580486297607
"12",2016-01-27,19.1637496948242,19.1342658996582,18.5732307434082,17.7016181945801
"13",2016-01-28,18.9016666412354,18.8401527404785,18.6277446746826,17.7680168151855
"14",2016-01-29,18.7579174041748,18.538215637207,18.6507873535156,17.8273887634277
"15",2016-01-30,18.5849990844727,18.2250957489014,18.6741619110107,17.8577976226807
"16",2016-01-31,19.0324993133545,18.4222660064697,18.7000942230225,17.8936882019043
"17",2016-02-01,20.0329170227051,18.734691619873,18.7386360168457,17.9194583892822
"18",2016-02-02,19.8670825958252,18.6901245117188,18.7609596252441,17.9352588653564
"19",2016-02-03,19.3370838165283,18.5991611480713,18.7807388305664,17.9603385925293
"20",2016-02-04,19.8000011444092,19.4058284759521,18.7868328094482,17.9836311340332
"21",2016-02-05,19.8216667175293,18.8409557342529,18.7966938018799,17.9906959533691
"22",2016-02-06,19.750415802002,18.5517292022705,18.8063220977783,18.0061283111572
"23",2016-02-07,20.0962505340576,18.7952308654785,18.8104343414307,18.0197486877441
"24",2016-02-08,20.4665222167969,19.295919418335,18.8066692352295,18.0193786621094
"25",2016-02-09,20.1316661834717,18.5372314453125,18.831823348999,18.0266151428223
"26",2016-02-10,20.1159000396729,19.342399597168,18.8219223022461,18.0613441467285
"27",2016-02-11,20.6858329772949,20.0393466949463,18.8446159362793,18.0708274841309
"28",2016-02-12,20.6308326721191,20.1916065216064,18.8648910522461,18.0864753723145
"29",2016-02-13,20.4108333587646,19.6462917327881,18.8960151672363,18.1238212585449
"30",2016-02-14,20.2733325958252,20.3442707061768,18.9098339080811,18.1592044830322
"31",2016-02-15,19.6333332061768,19.7833118438721,18.9435157775879,18.1654415130615
"32",2016-02-16,19.0541667938232,NA,18.9580402374268,18.2006702423096
"33",2016-02-17,19.1279163360596,19.0156764984131,18.9819183349609,18.2225112915039
"34",2016-02-18,19.1666660308838,19.0564289093018,19.0009822845459,18.2575569152832
"35",2016-02-19,18.9324989318848,18.8924674987793,19.0085697174072,18.2766895294189
"36",2016-02-20,19.4166660308838,19.0957698822021,19.0232334136963,18.3060550689697
"37",2016-02-21,19.3600006103516,19.2078018188477,19.0421504974365,18.3284549713135
"38",2016-02-22,19.1379165649414,18.9310188293457,19.0159187316895,18.3175926208496
"39",2016-02-23,19.3091659545898,19.1627254486084,18.9986400604248,18.3164882659912
"40",2016-02-24,19.2037506103516,19.1785850524902,18.9818344116211,18.2989463806152
"41",2016-02-25,19.2308330535889,19.1339511871338,18.9425830841064,18.2752704620361
"42",2016-02-26,19.1604175567627,19.109058380127,18.9047660827637,18.2835693359375
"43",2016-02-27,19.1954154968262,18.9612884521484,18.856424331665,18.2958011627197
"44",2016-02-28,19.406665802002,19.1988048553467,18.847526550293,18.266960144043
"45",2016-02-29,19.3895835876465,19.3815040588379,18.8533325195312,18.2619113922119
"46",2016-03-01,19.2704162597656,19.2869167327881,18.8545074462891,18.2665004730225
"47",2016-03-02,19.220832824707,18.9330234527588,18.8691425323486,18.2641944885254
"48",2016-03-03,19.2896995544434,19.1681995391846,18.8786315917969,18.2763137817383
"49",2016-03-04,19.546667098999,19.1206073760986,18.8730564117432,18.3096408843994
"50",2016-03-05,19.5479164123535,19.1972942352295,18.8716220855713,18.30690574646
"51",2016-03-06,19.5866661071777,19.1507358551025,18.8727226257324,18.3085651397705
"52",2016-03-07,19.5991668701172,19.6151580810547,18.8582630157471,18.3126068115234
"53",2016-03-08,19.8041667938232,19.7636413574219,18.8433589935303,18.3090991973877
"54",2016-03-09,19.8513050079346,19.7838935852051,18.8454608917236,18.3147926330566
"55",2016-03-10,19.8233337402344,19.7275295257568,18.8401870727539,18.3295402526855
"56",2016-03-11,19.6795845031738,19.676607131958,18.8224258422852,18.3352565765381
"57",2016-03-12,20.0516662597656,19.4756107330322,18.8191776275635,18.326997756958
"58",2016-03-13,19.6595840454102,19.2689266204834,18.795581817627,18.3205738067627
"59",2016-03-14,19.3379173278809,19.3046283721924,18.7671146392822,18.3080062866211
"60",2016-03-15,19.359167098999,19.3670635223389,18.7393379211426,18.283109664917
"61",2016-03-16,19.4074993133545,19.3766975402832,18.7197303771973,18.2534255981445
"62",2016-03-17,19.2075004577637,19.1916770935059,18.69260597229,18.2455730438232
"63",2016-03-18,19.1754169464111,19.1427822113037,18.6640548706055,18.2080821990967
"64",2016-03-19,19.3662490844727,19.3214740753174,18.6390266418457,18.1900672912598
"65",2016-03-20,19.2937507629395,19.410213470459,18.5871658325195,18.1549301147461
"66",2016-03-21,19.7868995666504,19.6672992706299,18.5477485656738,18.1200542449951
