"","TIME","TEMP","TEMP_INTERP","TEMP_HEAT_SPIKE","TEMP_COLD_SPIKE","TEMP_EXTREME_INDEX","TEMP_PER10","TEMP_PER50","TEMP_PER90","TEMP_MEAN","MHW_EVENT_NUMBER","MHW_EVENT_CAT","MCS_EVENT_NUMBER","MCS_EVENT_CAT","MHW_EVENT_DURATION","MHW_EVENT_ONSET_RATE","MHW_EVENT_DECLINE_RATE","MCS_EVENT_DURATION","MCS_EVENT_ONSET_RATE","MCS_EVENT_DECLINE_RATE","MHW_EVENT_INTENSITY_MEAN","MHW_EVENT_INTENSITY_MAX","MHW_EVENT_INTENSITY_VAR","MHW_EVENT_INTENSITY_CUMULATIVE","MHW_EVENT_INTENSITY_MEAN_RELPERC","MHW_EVENT_INTENSITY_MAX_RELPERC","MHW_EVENT_INTENSITY_VAR_RELPERC","MHW_EVENT_INTENSITY_CUMULATIVE_RELPERC","MCS_EVENT_INTENSITY_MEAN","MCS_EVENT_INTENSITY_MAX","MCS_EVENT_INTENSITY_VAR","MCS_EVENT_INTENSITY_CUMULATIVE","MCS_EVENT_INTENSITY_MEAN_RELPERC","MCS_EVENT_INTENSITY_MAX_RELPERC","MCS_EVENT_INTENSITY_VAR_RELPERC","MCS_EVENT_INTENSITY_CUMULATIVE_RELPERC"
"24",2011-04-15,23.6797981262207,23.6797981262207,23.6797981262207,NA,12,19.4659641265869,21.0426067352295,22.6896755218506,21.0367458343506,7,2,0,0,20,1.01600003242493,0.148000001907349,0,0,0,2.26,4.167,0.652,45.207,0.649,2.434,0.588,12.98,0,0,0,0,0,0,0,0
"25",2011-04-16,23.1443920135498,23.1443920135498,23.1443920135498,NA,12,19.4547328948975,21.0066783905029,22.63815574646,21.0022064208984,7,2,0,0,20,1.01600003242493,0.148000001907349,0,0,0,2.26,4.167,0.652,45.207,0.649,2.434,0.588,12.98,0,0,0,0,0,0,0,0
"26",2011-04-17,22.7713775634766,22.7713775634766,22.7713775634766,NA,12,19.4391788482666,20.9664512634277,22.5892673492432,20.9698413848877,7,2,0,0,20,1.01600003242493,0.148000001907349,0,0,0,2.26,4.167,0.652,45.207,0.649,2.434,0.588,12.98,0,0,0,0,0,0,0,0
"27",2011-04-18,22.6483860015869,22.6483860015869,22.6483860015869,NA,12,19.4225597381592,20.9298145294189,22.5239864349365,20.9324104309082,7,2,0,0,20,1.01600003242493,0.148000001907349,0,0,0,2.26,4.167,0.652,45.207,0.649,2.434,0.588,12.98,0,0,0,0,0,0,0,0
"28",2011-04-19,22.5842227935791,22.5842227935791,22.5842227935791,NA,12,19.402995300293,20.891873550415,22.4669635772705,20.896484375,7,2,0,0,20,1.01600003242493,0.148000001907349,0,0,0,2.26,4.167,0.652,45.207,0.649,2.434,0.588,12.98,0,0,0,0,0,0,0,0
"29",2011-04-20,22.7789001464844,22.7789001464844,22.7789001464844,NA,12,19.384663772583,20.8555328369141,22.408882522583,20.8618186950684,7,2,0,0,20,1.01600003242493,0.148000001907349,0,0,0,2.26,4.167,0.652,45.207,0.649,2.434,0.588,12.98,0,0,0,0,0,0,0,0
"30",2011-04-21,22.7264957427979,22.7264957427979,22.7264957427979,NA,12,19.3658336639404,20.8221420288086,22.3558906555176,20.8291759490967,7,2,0,0,20,1.01600003242493,0.148000001907349,0,0,0,2.26,4.167,0.652,45.207,0.649,2.434,0.588,12.98,0,0,0,0,0,0,0,0
"31",2011-04-22,22.6901454925537,22.6901454925537,22.6901454925537,NA,12,19.3486881256104,20.7882389068604,22.2973972320557,20.7942035675049,7,2,0,0,20,1.01600003242493,0.148000001907349,0,0,0,2.26,4.167,0.652,45.207,0.649,2.434,0.588,12.98,0,0,0,0,0,0,0,0
"32",2011-04-23,22.6067638397217,22.6067638397217,22.6067638397217,NA,12,19.3292678833008,20.7543075561523,22.2474842071533,20.7615135192871,7,2,0,0,20,1.01600003242493,0.148000001907349,0,0,0,2.26,4.167,0.652,45.207,0.649,2.434,0.588,12.98,0,0,0,0,0,0,0,0
"33",2011-04-24,22.5745449066162,22.5745449066162,22.5745449066162,NA,12,19.3086944580078,20.7188785552979,22.2011306762695,20.7294486999512,7,2,0,0,20,1.01600003242493,0.148000001907349,0,0,0,2.26,4.167,0.652,45.207,0.649,2.434,0.588,12.98,0,0,0,0,0,0,0,0
"34",2011-04-25,22.4697742462158,22.4697742462158,22.4697742462158,NA,12,19.2888877868652,20.6830551147461,22.15837059021,20.6993221282959,7,2,0,0,20,1.01600003242493,0.148000001907349,0,0,0,2.26,4.167,0.652,45.207,0.649,2.434,0.588,12.98,0,0,0,0,0,0,0,0
"35",2011-04-26,22.3719215393066,22.3719215393066,22.3719215393066,NA,12,19.2700511932373,20.6479671478271,22.1306526184082,20.6719398498535,7,2,0,0,20,1.01600003242493,0.148000001907349,0,0,0,2.26,4.167,0.652,45.207,0.649,2.434,0.588,12.98,0,0,0,0,0,0,0,0
"36",2013-03-03,23.7812671661377,23.7812671661377,23.7812671661377,NA,12,18.6092948913574,20.7179431915283,22.6083118438721,20.6786876678467,9,2,0,0,6,1.07799994945526,0.474000006914139,0,0,0,3.363,4.154,0.558,20.181,1.464,2.253,0.559,8.781,0,0,0,0,0,0,0,0
"37",2013-03-04,24.3643016815186,24.3643016815186,24.3643016815186,NA,12,18.634895324707,20.7394020080566,22.6060749053955,20.6942844390869,9,2,0,0,6,1.07799994945526,0.474000006914139,0,0,0,3.363,4.154,0.558,20.181,1.464,2.253,0.559,8.781,0,0,0,0,0,0,0,0
"38",2013-03-05,24.8657112121582,24.8657112121582,24.8657112121582,NA,12,18.658996963501,20.7563808441162,22.6130451202393,20.711291885376,9,2,0,0,6,1.07799994945526,0.474000006914139,0,0,0,3.363,4.154,0.558,20.181,1.464,2.253,0.559,8.781,0,0,0,0,0,0,0,0
"39",2013-03-06,23.1631717681885,23.1631717681885,23.1631717681885,NA,12,18.6797107696533,20.7719886779785,22.6245170593262,20.7305381774902,9,2,0,0,6,1.07799994945526,0.474000006914139,0,0,0,3.363,4.154,0.558,20.181,1.464,2.253,0.559,8.781,0,0,0,0,0,0,0,0
